item_id,english_name,display_name,telugu_name,hindi_name,category,sub_category,aliases,search_keywords,measurement_unit,shelf_life_days_ambient,shelf_life_days_refrigerated,shelf_life_days_frozen,recommended_storage,avg_weekly_consumption_pp,min_quantity,max_quantity,purchase_notes,common_household_usage,season_availability,popularity_score,calculation_priority,recommendation_notes
QTY-AP-LVE-0001,Sorrel Leaves (Gongura Red),Red Gongura,ఎర్ర గోంగూర,लाल अंबाडी,Leafy Vegetables,Acidic Greens,Red Gongura | Gongura Red | Lal Ambadi | Gogu Leaves,sour leafy greens | red stem gongura | gongura Pachadi,kg,1,3,NULL,Refrigerated,0.25,0.2,0.75,Stems should snap easily. Discard wilted leaves.,Gongura Pachadi | Gongura Pappu | Gongura Mamsam,Year-Round,10,1,
QTY-AP-LVE-0002,Sorrel Leaves (Gongura Green),Green Gongura,తెల్ల గోంగూర,सफ़ेद अंबाडी,Leafy Vegetables,Acidic Greens,Green Gongura | Gongura Green | Safed Ambadi | Gogu,mild sour greens | white stem gongura | gongura pickle,kg,1,3,NULL,Refrigerated,0.25,0.2,0.75,Fresh green leaves. Avoid dry stems.,Gongura Pachadi | Gongura Pappu,Year-Round,9,1,
QTY-AP-LVE-0003,Amaranth Leaves (Thotakura),Thotakura,తోటకూర,चौलाई,Leafy Vegetables,Neutral Greens,Thotakura | Amaranth Leaves | Chaulai | Green Amaranth,staple leafy green | thotakura fry | thotakura Pappu,kg,1,3,NULL,Refrigerated,0.3,0.2,0.8,"Stems should be tender, leaves bright green.",Thotakura Pappu | Thotakura Fry | Thotakura Pulusu,Year-Round,10,1,
QTY-AP-LVE-0004,Spinach (Palakura),Palakura,పాలకూర,पालक,Leafy Vegetables,Neutral Greens,Palakura | Spinach | Palak,winter greens | palak Pappu | spinach dal,kg,1,3,NULL,Refrigerated,0.25,0.2,0.6,Avoid leaves with yellow spots or insect damage.,Palakura Pappu | Palak Paneer,Year-Round,9,1,
QTY-AP-LVE-0005,Fenugreek Leaves (Menthi Kura),Menthi Kura,మెంతికూర,मेथी,Leafy Vegetables,Bitter Greens,Menthi Kura | Fenugreek Leaves | Methi | Menthi,bitter leafy green | methi Pappu | menthikura fry,kg,1,3,NULL,Refrigerated,0.2,0.1,0.5,Select small-leafed fresh bundles.,Menthi Kura Pappu | Menthikura Fry,Rabi,8,2,
QTY-AP-LVE-0006,Purslane Leaves (Gangabayalu Kura),Gangabayalu Kura,గంగబాయలు కూర,कुलफा,Leafy Vegetables,Neutral Greens,Gangabayalu Kura | Purslane | Kulfa | Gangabayala,thick stem greens | purslane dal | gangabayala Pappu,kg,1,3,NULL,Refrigerated,0.2,0.1,0.5,"Fleshy stems, crisp green leaves.",Gangabayalu Pappu | Gangabayalu Kura Fry,Year-Round,7,2,
QTY-AP-LVE-0007,Malabar Spinach (Bachali Kura),Bachali Kura,బచ్చలికూర,पोई साग,Leafy Vegetables,Neutral Greens,Bachali Kura | Malabar Spinach | Poi Saag | Bachali,climbing spinach | thick green leaves | kanda Bachali,kg,1,3,NULL,Refrigerated,0.25,0.2,0.8,"Thick fleshy leaves, purple or green stems.",Bachali Kura Pappu | Bachali Kura Kanda Pulusu,Year-Round,8,1,
QTY-AP-LVE-0008,Dill Leaves (Soa Kura),Soa Kura,సోయాకూర,सोया साग,Leafy Vegetables,Bitter Greens,Soa Kura | Dill Leaves | Soya Saag | Shepu,dill greens | aromatic herbs | soya kura fry,kg,1,3,NULL,Refrigerated,0.15,0.1,0.5,Fine thread-like fresh green leaves.,Soa Kura Pappu | Soa Kura Fry,Rabi,6,2,
QTY-AP-LVE-0009,Sorrel Spinach (Chukkakura),Chukkakura,చుక్కకూర,खट्टा पालक,Leafy Vegetables,Acidic Greens,Chukkakura | Khatta Palak | Country Sorrel,sour spinach | chukkakura Pappu | sour green dal,kg,1,3,NULL,Refrigerated,0.25,0.2,0.6,Select leaves that are green and crisp.,Chukkakura Pappu | Chukkakura Pachadi,Year-Round,8,1,
QTY-AP-LVE-0010,Curry Leaves (Karivepaku),Karivepaku,కరివేపాకు,कढ़ी पत्ता,Leafy Vegetables,Aromatics,Karivepaku | Curry Leaves | Kadi Patta,seasoning leaves | seasoning herb | talimpu,kg,3,7,NULL,Ambient Dry,0.05,0.05,0.2,Stiff green aromatic leaves.,Talimpu seasoning | Karivepaku Podi,Year-Round,10,2,
